workload         size     device   onnx_avg_ms      runtime_avg_ms   speedup     
add              256      hybrid   0.007            0.001            13.767x     
add              1024     hybrid   0.008            0.001            6.768x      
add              4096     hybrid   0.008            0.004            1.687x      
add              16384    hybrid   0.010            0.015            0.625x      
add              65536    hybrid   0.018            0.061            0.299x      
compiled_graph   64       hybrid   0.017            0.206            0.083x      
compiled_graph   128      hybrid   0.027            1.273            0.022x      
compiled_graph   256      hybrid   0.099            11.083           0.009x      
compiled_graph   512      hybrid   0.420            128.674          0.003x      
matmul           64       hybrid   0.018            0.165            0.109x      
matmul           128      hybrid   0.018            1.298            0.014x      
matmul           256      hybrid   0.074            10.466           0.007x      
matmul           512      hybrid   0.344            122.247          0.003x      
